Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
244	-361.48	822.75	-62.41	2630.54	0	988.91	-79963.3
245	-268.4	1355.74	-117.49	2593.29	0	959.07	5818.2
246	-281.68	1358.8	-285.42	2601.17	0	947.65	-36971.5
247	57.83	1571.5	-113.91	2549.25	0	955.38	-136940
248	-234.38	1779.94	116.88	2551.44	0	953.59	73458.3
249	-332.18	1681.21	32.58	2564.46	0	953.79	5979.46
250	-196.23	1835.48	6.1	2518.52	0	945.16	-60255
251	-488.2	1636.35	271.22	2556.65	0	951.45	93664.2
252	-344.77	1787.11	170.06	2498.02	0	941.63	4308.75
253	-362.93	1720.73	96.89	2512.41	0	935.86	-13258.5
254	-402.37	1707.46	171.89	2498.66	0	939.52	63673.3
255	-277.4	1838.99	213.7	2487.16	0	942.01	-12947.6
256	-458.22	1708.98	98.34	2491.19	0	939.56	34484.9
257	-357.74	1885.53	146.56	2442.17	0	943.49	27755.9
258	-302.96	1983.8	184.56	2495.41	0	945.54	18332.9
259	-441.97	1831.82	103.45	2406.96	0	940.48	18317.2
260	-124.44	2194.06	72.63	2429.09	0	936.87	1069.67
261	-377.27	1994.17	100.17	2394.96	0	940.69	990.78
262	-182.65	2161.1	103.3	2374.95	0	946.66	36374.2
263	-177.92	2130.13	44.02	2399.09	0	943.36	8157.88
264	-259.63	2103.42	43.18	2325.48	0	949.75	-1914.61
265	53.86	2192.99	96.05	2362.87	0	947.1	8827.21
266	-213.17	2108.31	25.79	2305.77	0	945.69	18301.7
267	21.21	2147.37	5.49	2298.14	0	940.87	-5161.76
268	60.65	2155.76	78.81	2305.54	0	944.66	17493.2
269	-59.43	2063.14	41.58	2258.14	0	943.77	9035.01
270	199.81	2117	50.89	2285.27	0	946.18	3806.92
271	3.81	1980.74	76.45	2237.43	0	948.71	24814.9
272	175.09	2009.12	91.09	2249.72	0	947.51	11121
273	171.05	1969.15	61.72	2221.34	0	947.29	10785.1
274	94.68	1867.68	41.35	2202.24	0	943.53	20588.7
275	270.16	1906.43	71.11	2205.7	0	945.14	1016.93
276	154.57	1740.42	41.28	2152.38	0	942.89	11665.7
277	257.03	1769.87	50.2	2192.78	0	943.54	26523.9
278	252.15	1635.89	50.89	2139.14	0	945.92	2771.24
279	260.47	1549.22	65.61	2132.6	0	945.9	11921.1
280	341.8	1548.61	56.3	2150.13	0	943.48	6624.72
281	302.35	1356.66	45.39	2089.23	0	946.5	11034.5
282	360.95	1345.37	64.85	2113.18	0	943.25	9152.25
283	338.59	1254.12	40.66	2082.45	0	937.4	-2915.53
284	361.25	1122.59	38.45	2059.81	0	940.41	14302.5
285	366.29	1087.34	47.68	2078.86	0	939.98	3442.66
286	327.38	941.31	50.89	2027.5	0	940.91	1384.06
287	378.42	871.12	49.51	2044.59	0	941.77	2587.26
288	320.66	780.03	43.95	2014.95	0	940.04	-1500.67
289	327.15	675.51	53.48	1976.57	0	943.83	3736.78
290	319.06	606.38	47.91	2016.43	0	944.75	-7008.56
291	268.55	521.09	26.09	1943.82	0	934.6	1531.08
292	311.13	478.21	41.05	1999.03	0	939.6	-2390.92
293	219.8	387.57	21.21	1942.86	0	930.49	2346.39
294	220.57	348.05	20.83	1922.43	0	933.19	1884.9
295	229.87	301.36	34.56	2040.19	0	946.18	-3798.91
296	154.72	222.32	15.79	1887.03	0	935.35	-2324.81
297	181.96	204.32	26.47	2019.94	0	974.63	-15739.2
298	105.51	144.35	0.31	1911.13	0	925.86	-358.88
299	124.51	134.43	-0.38	1996.6	0	930.88	-6769.57
300	95.29	81.02	0.84	1947.62	0	957.49	-10485
301	45.7	75.99	-17.32	2017.86	0	867.83	-768.75
302	56.08	50.51	-15.49	2007.65	0	882.42	-7150.07
303	17.01	23.35	-9.23	2023.33	0	899.34	-1909.72
304	19.07	23.96	-4.65	2860.94	0	831.1	-9786.96
305	-0	-0	-0	2149	0	976.7	-0
306	-0	-0	-0	2149	0	976.7	-0
307	-0	-0	-0	2149	0	976.7	-0
308	-0	-0	-0	2149	0	976.7	-0
309	-0	-0	-0	2149	0	976.7	-0
310	-0	-0	-0	2149	0	976.7	-0
311	-0	-0	-0	2149	0	976.7	-0
312	-0	-0	-0	2149	0	976.7	-0
313	-0	-0	-0	2149	0	976.7	-0
314	-0	-0	-0	2149	0	976.7	-0
315	-0	-0	-0	2149	0	976.7	-0
316	-0	-0	-0	2149	0	976.7	-0
317	-0	-0	-0	2149	0	976.7	-0
318	-0	-0	-0	2149	0	976.7	-0
319	-0	-0	-0	2149	0	976.7	-0
320	-0	-0	-0	2149	0	976.7	-0
321	-0	-0	-0	2149	0	976.7	-0
322	-0	-0	-0	2149	0	976.7	-0
323	-0	-0	-0	2149	0	976.7	-0
324	-0	-0	-0	2149	0	976.7	-0
325	-0	-0	-0	2149	0	976.7	-0
326	-0	-0	-0	2149	0	976.7	-0
327	-0	-0	-0	2149	0	976.7	-0
328	0	0	0	2149	0	976.7	0
329	-0	-0	-0	2149	0	976.7	-0
330	-0	-0	-0	2149	0	976.7	-0
331	-0	-0	-0	2149	0	976.7	-0
332	-0	-0	-0	2149	0	976.7	-0
333	-0	-0	-0	2149	0	976.7	-0
334	-0	-0	-0	2149	0	976.7	-0
335	-0	-0	-0	2149	0	976.7	-0
336	15.56	18.01	-4.2	2936.54	0	802.24	-9063.46
337	-14.04	-17.4	1.68	1892.68	0	868.22	-9543.44
338	-0	-0	-0	2149	0	976.7	-0
339	-0	-0	-0	2149	0	976.7	-0
340	0	0	0	2149	0	976.7	0
341	-0	-0	-0	2149	0	976.7	-0
342	-0	-0	-0	2149	0	976.7	-0
343	-0	-0	-0	2149	0	976.7	-0
344	-0	-0	-0	2149	0	976.7	-0
345	-0	-0	-0	2149	0	976.7	-0
346	-0	-0	-0	2149	0	976.7	-0
347	-140.15	343.48	17.55	2633.91	0	923.6	-17808.3
348	-49.74	413.67	131.68	2807.65	0	917.28	-41722.7
349	-291.52	733.8	175.02	2591.68	0	940.54	-24898.5
350	-463.71	869.45	206.15	2728.4	0	941.36	50072.7
351	-349.5	996.7	181.35	2585.93	0	937.29	3610.11
352	-313.34	1304.78	166.7	2616.84	0	949.66	84629.8
353	52.72	1215.36	115.97	2691.86	0	941.25	98764.8
354	-127.87	1430.97	90.79	2499.18	0	959.65	-41503.5
355	-207.98	1408.08	-54.86	2669.67	0	948.33	-59721.4
356	-336.23	1520.54	-146.03	2527.85	0	954.46	28.89
357	-379.87	1386.11	-59.66	2564.31	0	965.69	-2738.91
358	-368.04	1477.2	25.02	2638.84	0	971.95	20718.8
359	-412.06	1397.09	-177.38	2517.1	0	965.49	-3387.57
360	-328.98	1427.15	-144.5	2609.98	0	960.21	-53664.3
361	-484.31	1570.43	-70.11	2496.38	0	957.45	460.88
362	-332.87	1480.1	-140.69	2526.12	0	956.96	-33882.7
363	-435.1	1704.56	-110.02	2523.77	0	964.05	-20123
364	-499.65	1598.51	-23.65	2485.85	0	966.49	33653
365	-251.46	1812.44	13.58	2501.61	0	969.02	-7067.39
366	-449.83	1806.34	-52.87	2450.6	0	963.79	15067.9
367	-240.17	1890.56	-32.96	2474.21	0	957.61	8146.71
368	-293.96	2001.65	11.22	2418.93	0	956.46	-20885.1
369	-298.08	1998.44	6.18	2407.09	0	959.81	15534.6
370	-112.99	2096.1	1.45	2419.1	0	956.47	23326.8
371	-291.82	2037.81	46.16	2357.15	0	960.58	16468.9
372	-75.38	2054.44	85.37	2389.51	0	965.96	20332.3
373	-98.27	2166.75	34.64	2361.84	0	964.2	25430.2
374	-138.24	1989.9	28.61	2339.9	0	966.6	-6720.69
375	49.51	2177.43	39.9	2334.86	0	957.77	9772.3
376	-121.46	1981.66	-18.39	2293.37	0	955.84	10464.1
377	57.83	2101.59	-42.11	2302.84	0	956.14	-3656.31
378	14.72	2010.8	2.59	2283.86	0	959.7	7169.11
379	0.08	1919.25	-19.23	2272.06	0	963.22	5337.54
380	132.52	1986.39	-13.58	2263.67	0	964.68	5170.7
381	58.59	1826.02	-3.43	2233.25	0	966.27	24375.5
382	168.84	1919.1	-4.73	2237.71	0	962.65	-13486.6
383	159.53	1773.38	-31.28	2195.32	0	963.26	9582.86
384	196.91	1762.7	-27.47	2199.08	0	960.33	11492.4
385	252.38	1769.1	-2.29	2199.08	0	961.43	-10088
386	216.6	1609.95	-35.02	2150.34	0	960.03	21035.7
387	301.97	1611.33	-16.78	2174.39	0	963.42	-2870.14
388	274.35	1502.84	-16.48	2148.24	0	965.49	3559.53
389	304.18	1401.67	-20.9	2119.58	0	965.73	9548.28
390	351.33	1374.97	-19.53	2140.37	0	967.89	41.34
391	287.55	1223.45	-50.2	2068.59	0	962.38	7050.42
392	388.87	1205.75	-23.27	2113.57	0	967.09	148.02
393	305.71	1051.94	-61.19	2054.29	0	963.06	7865.76
394	348.51	1003.88	-53.94	2058.71	0	964.43	-2015.66
395	343.4	900.57	-43.49	2061.77	0	965.57	1731.25
396	287.32	788.12	-57.14	1988.64	0	967.66	3061.74
397	365.75	770.72	-45.01	2090.96	0	965.3	-5604.65
398	254.52	598.3	-62.33	1940.92	0	966.71	8955.99
399	320.36	585.94	-41.73	2032.41	0	969.16	-10040.4
400	255.97	500.03	-39.22	2010.78	0	961.16	4555.25
401	224.46	397.8	-36.24	1939.01	0	971.59	-9799.05
402	245.82	358.58	-36.54	2017.07	0	958.45	-5313.37
403	163.5	281.07	-28.08	1913.53	0	964.69	-2713.6
404	196	238.95	-33.26	1944.32	0	965.49	-6364.58
405	139.62	204.16	-23.19	2068.23	0	971.91	-11487
406	106.58	141.6	-36.09	1839.6	0	931.12	-3596.88
407	121.15	135.8	-17.78	1900.58	0	962.64	-7520.18
408	70.88	75.07	-14.19	2225.76	0	946.31	-4149.96
409	59.51	68.82	-21.13	1755.1	0	919.78	-4679.27
410	46.77	41.5	-0.69	1983.55	0	1015.62	-20098
411	-0	-0	-0	2149	0	976.7	-0
412	33.19	39.67	-16.4	2126.16	0	944.81	-18464.8
413	-8.7	-16.94	-4.65	1703.55	0	931.52	-6925.7
414	9.23	21.97	-9.23	2644.19	0	779.48	-6649.6
415	-0	-0	-0	2149	0	976.7	-0
416	-0	-0	-0	2149	0	976.7	-0
417	-0	-0	-0	2149	0	976.7	-0
418	-17.17	-19.23	-6.64	2265.57	0	881.74	-17939.3
419	-0	-0	-0	2149	0	976.7	-0
420	-4.81	-22.89	-11.14	2313.48	0	1036	-18216.7
421	-0	-0	-0	2149	0	976.7	-0
422	-0	-0	-0	2149	0	976.7	-0
423	-0	-0	-0	2149	0	976.7	-0
424	-0	-0	-0	2149	0	976.7	-0
425	-0	-0	-0	2149	0	976.7	-0
426	-0	-0	-0	2149	0	976.7	-0
427	-0	-0	-0	2149	0	976.7	-0
428	-0	-0	-0	2149	0	976.7	-0
429	-0	-0	-0	2149	0	976.7	-0
430	-0	-0	-0	2149	0	976.7	-0
431	-0	-0	-0	2149	0	976.7	-0
432	-0	-0	-0	2149	0	976.7	-0
433	-0	-0	-0	2149	0	976.7	-0
434	-0	-0	-0	2149	0	976.7	-0
435	-0	-0	-0	2149	0	976.7	-0
436	-0	-0	-0	2149	0	976.7	-0
437	-0	-0	-0	2149	0	976.7	-0
438	-0	-0	-0	2149	0	976.7	-0
439	-0	-0	-0	2149	0	976.7	-0
440	-0	-0	-0	2149	0	976.7	-0
441	-0	-0	-0	2149	0	976.7	-0
442	-0	-0	-0	2149	0	976.7	-0
443	-0	-0	-0	2149	0	976.7	-0
444	-0	-0	-0	2149	0	976.7	-0
445	-0	-0	-0	2149	0	976.7	-0
446	-0	-0	-0	2149	0	976.7	-0
447	-0	-0	-0	2149	0	976.7	-0
448	-0	-0	-0	2149	0	976.7	-0
449	-0	-0	-0	2149	0	976.7	-0
450	-0	-0	-0	2149	0	976.7	-0
451	-0	-0	-0	2149	0	976.7	-0
452	-0	-0	-0	2149	0	976.7	-0
453	-0	-0	-0	2149	0	976.7	-0
454	-0	-0	-0	2149	0	976.7	-0
455	-0	-0	-0	2149	0	976.7	-0
456	-0	-0	-0	2149	0	976.7	-0
457	-0	-0	-0	2149	0	976.7	-0
458	-8.7	113.53	12.89	2779.03	0	1115.44	-13390
459	-158.08	383.15	-29.91	2705.18	0	1041.17	3895.48
460	-29.83	782.32	-140.91	2666.96	0	1017.91	9960.88
461	-543.06	992.28	-162.58	2584.66	0	1023.45	8008.47
462	-348.13	1164.7	-179.37	2659.53	0	1024.82	-100935
463	-148.7	1551.21	-203.32	2568.44	0	1005.12	-75813.1
464	-117.72	1492.61	-332.18	2603.45	0	995.54	-51487.1
465	4.73	1725.16	-13.28	2568.98	0	1006.23	-78626.5
466	-263.9	1725.46	155.87	2540.66	0	1001.77	86342.3
467	-269.01	1678.47	114.14	2568.05	0	1001.65	77369.5
468	-282.14	1779.48	70.27	2547.74	0	996.15	-8768.81
469	-474.62	1565.4	258.71	2539.55	0	994.34	86312
470	-356.06	1757.35	188.6	2508.72	0	990.3	-11444.7
471	-363.69	1515.05	3.66	2528.75	0	982.63	7268.5
472	-319.82	1711.43	133.74	2497.62	0	988.17	102385
473	-339.13	1652.22	176.16	2520.03	0	997.72	-20418.5
474	-384.29	1673.89	45.09	2486.18	0	998.39	25789.6
475	-322.72	1842.96	28.15	2483.66	0	987.47	32671.5
476	-387.04	1814.73	63.4	2451.55	0	993.47	-27133.9
477	-242.77	1864.32	78.43	2413.65	0	993.09	32366.8
478	-210.8	2027.44	-11.52	2458.91	0	988.77	17796.5
479	-318.3	1851.04	-19.53	2394.22	0	999.97	-27093
480	-92.32	2113.19	66.38	2408.17	0	994.66	27667
481	-281.75	2002.26	-15.87	2391.78	0	1000.44	12098.8
482	-138.32	2022.71	-81.02	2344.47	0	999.79	-24610.3
483	-84.69	2071.84	35.78	2377.8	0	1000.88	27616.7
484	-171.28	1993.71	-49.74	2318.95	0	997.14	-7918.09
